アシッドジャズ,acid jazz
アコースティック,acoustic
アフロアメリカン,Afro-American
アフロキューバン,Afro-Cuban
アフロビート,Afrobeat
アルバム,album
アルバムチャート,album chart
アルトサックス,alto saxophone
アンビエント,ambient
アメリカツアー,American tour
アポロ,Apollo
アレンジ,arrangement
アレンジャー,arranger
アーティスト,artist
アヴァンギャルド,avant garde
バラード,ballad
バンド,band
バンドリーダー,band leader
バロック,Baroque
ベース,bass
ベーシスト,bassist
ビート,beat
ビバップ,bebop
ビッグバンド,big band
ブラックミュージック,Black music
ブルーノート,Blue Note
ブルース,blues
ブルージー,bluesy
ブーム,boom
バップ,bop
ボサノヴァ,bossa nova
バウンス,bounce
ブラスバンド,brass band
ブロードキャスター,broadcaster
コールアンドレスポンス,call-and-response
カリプソ,calypso
キャッチー,catchy
カテゴリ,category
ケルト,Celtic
チェンバー,chamber
チャンス,chance
キャラクターソング,character song
チャート,chart
クラリネット,clarinet
クラシック,classic
クラブ,club
コラボ,collab(oration)
コラボレーション,collaboration
コレクション,collection
コムビネーション,combination
コンビ,combi(nation)
コンボ,combo
コンピレーション,compilation
コンポーネントステレオ,component stereo
コンサート,concert
コンサートホール,concert hall
コンテンポラリー,contemporary
コントラダンツァ,contradanza
コントラファクト,contrafact
クロスオーバー,crossover
ダンス,dance
ダンスバンド,dance band
ダンスホール,dance hall
デビュー,debut
デシベル,decibel
デザイン,design
デジタルオーディオプレーヤー,digital audio player
ディスコ,disco
ディスク,disk
ディキシーランド,Dixieland
ドゥーワップ,doo-wop
コントラバス,double bass
ドラム,drum
ドラムンベース,drum-and-bass
ドラマー,drummer
ドラムス,drums
イージーリスニング,easy listening
エレクトリックギター,electric guitar
エレクトロニック,electronic
エンジニア,engineer
エンターテイナー,entertainer
ユーロビート,Eurobeat
ユーロダンス,Eurodance
ユーロポップ,Europop
エクスペリメンタル,experimental
ファン,fan
フィーリング,feeling
フェスティバル,festival
フルート,flute
フォークソング,folk song
フォーマット,format
フリージャズ,free jazz
ファンク,funk
ファンキー,funky
フューチャーポップ,future pop
ゲームミュージック,game music
ジャンル,genre
グラムロック,glam rock
